source,target,type,id,label,weight
58,48,Undirected,142,,7.0
58,55,Undirected,141,,7.0
58,57,Undirected,144,,1.0
59,48,Undirected,148,,6.0
59,55,Undirected,147,,5.0
59,57,Undirected,149,,2.0
59,58,Undirected,146,,15.0
60,48,Undirected,150,,1.0
60,58,Undirected,151,,4.0
60,59,Undirected,152,,2.0
61,48,Undirected,153,,2.0
61,55,Undirected,158,,1.0
61,57,Undirected,157,,1.0
61,58,Undirected,154,,6.0
61,59,Undirected,156,,5.0
61,60,Undirected,155,,2.0
62,41,Undirected,164,,1.0
62,48,Undirected,162,,7.0
62,55,Undirected,159,,9.0
62,57,Undirected,163,,2.0
62,58,Undirected,160,,17.0
62,59,Undirected,161,,13.0
62,60,Undirected,166,,3.0
62,61,Undirected,165,,6.0
63,48,Undirected,168,,5.0
63,55,Undirected,174,,1.0
63,57,Undirected,170,,2.0
63,58,Undirected,171,,4.0
63,59,Undirected,167,,5.0
63,60,Undirected,173,,2.0
63,61,Undirected,172,,3.0
63,62,Undirected,169,,6.0
64,11,Undirected,184,,1.0
64,48,Undirected,177,,5.0
64,55,Undirected,175,,5.0
64,57,Undirected,183,,1.0
64,58,Undirected,179,,10.0
64,59,Undirected,182,,9.0
64,60,Undirected,181,,2.0
64,61,Undirected,180,,6.0
64,62,Undirected,176,,12.0
64,63,Undirected,178,,4.0
65,48,Undirected,187,,3.0
65,55,Undirected,194,,2.0
65,57,Undirected,193,,1.0
65,58,Undirected,189,,5.0
65,59,Undirected,192,,5.0
65,60,Undirected,191,,2.0
65,61,Undirected,190,,5.0
65,62,Undirected,188,,5.0
65,63,Undirected,185,,5.0
65,64,Undirected,186,,7.0
66,48,Undirected,200,,1.0
66,58,Undirected,196,,3.0
66,59,Undirected,197,,1.0
66,60,Undirected,203,,1.0
66,61,Undirected,202,,1.0
66,62,Undirected,198,,2.0
66,63,Undirected,201,,1.0
66,64,Undirected,195,,3.0
66,65,Undirected,199,,2.0
67,57,Undirected,204,,3.0
68,11,Undirected,206,,1.0
68,24,Undirected,207,,1.0
68,25,Undirected,205,,5.0
68,27,Undirected,208,,1.0
68,41,Undirected,210,,1.0
68,48,Undirected,209,,1.0
69,11,Undirected,213,,1.0
69,24,Undirected,214,,1.0
69,25,Undirected,211,,6.0
69,27,Undirected,215,,2.0
69,41,Undirected,217,,1.0
69,48,Undirected,216,,1.0
69,68,Undirected,212,,6.0
70,11,Undirected,221,,1.0
70,24,Undirected,222,,1.0
70,25,Undirected,218,,4.0
70,27,Undirected,223,,1.0
70,41,Undirected,224,,1.0
70,58,Undirected,225,,1.0
70,68,Undirected,220,,4.0
70,69,Undirected,219,,4.0
71,11,Undirected,230,,1.0
71,25,Undirected,233,,1.0
71,27,Undirected,226,,1.0
71,41,Undirected,232,,1.0
71,48,Undirected,231,,1.0
71,68,Undirected,228,,2.0
71,69,Undirected,227,,2.0
71,70,Undirected,229,,2.0
72,11,Undirected,236,,1.0
72,26,Undirected,234,,2.0
72,27,Undirected,235,,1.0
73,48,Undirected,237,,2.0
74,48,Undirected,238,,2.0
74,73,Undirected,239,,3.0
75,25,Undirected,242,,3.0
75,41,Undirected,244,,1.0
75,48,Undirected,243,,1.0
75,68,Undirected,241,,3.0
75,69,Undirected,240,,3.0
75,70,Undirected,245,,1.0
75,71,Undirected,246,,1.0
76,48,Undirected,252,,1.0
76,58,Undirected,253,,1.0
76,62,Undirected,251,,1.0
76,63,Undirected,250,,1.0
76,64,Undirected,247,,1.0
76,65,Undirected,248,,1.0
76,66,Undirected,249,,1.0
